temp,vcc,cpu,label,phase,stress
59.00,3.005,47.44,STANDARD_INT8,0,0
59.09,3.005,50.75,PRUNED_VARIANT,0,0
59.23,3.004,54.80,PRUNED_VARIANT,0,0
59.15,3.004,59.44,PRUNED_VARIANT,0,0
59.34,3.001,64.55,MIXED_PRECISION,0,0
59.36,3.002,70.04,MIXED_PRECISION,0,0
59.64,3.001,59.03,MIXED_PRECISION,0,0
59.86,3.001,51.63,PRUNED_VARIANT,0,0
60.17,2.999,47.10,STANDARD_INT8,0,0
60.41,2.999,44.88,STANDARD_INT8,0,0
60.42,2.999,44.50,STANDARD_INT8,0,0
60.29,2.998,45.60,STANDARD_INT8,0,0
60.25,2.997,47.88,STANDARD_INT8,0,0
60.16,2.998,51.11,PRUNED_VARIANT,0,0
60.28,2.998,55.09,PRUNED_VARIANT,0,0
60.11,2.999,59.67,PRUNED_VARIANT,0,0
60.05,2.999,64.73,MIXED_PRECISION,0,0
60.00,2.998,70.19,MIXED_PRECISION,0,0
59.89,3.000,59.15,MIXED_PRECISION,0,0
59.87,2.999,51.72,PRUNED_VARIANT,0,0
59.92,2.999,47.18,STANDARD_INT8,0,0
59.70,3.002,44.94,STANDARD_INT8,0,0
59.91,3.002,44.55,STANDARD_INT8,0,0
59.88,3.001,45.64,STANDARD_INT8,0,0
59.86,3.000,47.91,STANDARD_INT8,0,0
59.91,3.000,51.13,PRUNED_VARIANT,0,0
60.08,2.998,55.10,PRUNED_VARIANT,0,0
60.02,2.999,59.68,PRUNED_VARIANT,0,0
59.97,2.999,64.75,MIXED_PRECISION,0,0
59.87,2.999,70.20,MIXED_PRECISION,0,0
59.79,3.000,59.16,MIXED_PRECISION,0,0
59.72,3.001,51.73,PRUNED_VARIANT,0,0
59.67,3.001,47.18,STANDARD_INT8,0,0
59.69,3.001,44.94,STANDARD_INT8,0,0
59.84,3.000,44.56,STANDARD_INT8,0,0
59.89,2.997,45.64,STANDARD_INT8,0,0
59.87,2.997,47.92,STANDARD_INT8,0,0
59.85,2.998,51.13,PRUNED_VARIANT,0,0
59.78,2.998,55.11,PRUNED_VARIANT,0,0
59.71,2.999,59.68,PRUNED_VARIANT,0,0
